term,coef,t_cluster,p_wild,n_boot
pre,-0.37518699416796386,-1.570254671131584,0.575,999
post_0_3,-0.19144147020756172,-0.6745622293338018,0.716,999
post_4_6,-0.23411496671866083,-0.6700954946970311,0.667,999
post_7_9,-0.18413024781060272,-0.3530543683047361,0.769,999
post_all,-0.20205299491292436,-0.5749225942899383,0.714,999
