measure,term,coef,t_cluster,p_wild,n_boot
amihud,pre,2.6667393467614238e-06,0.6069946475322751,0.628,1999
amihud,post_0_3,-3.825605726350006e-06,-0.9955584976626931,0.6735,1999
amihud,post_4_6,-8.957993406686026e-06,-1.0827582654629042,0.6915,1999
amihud,post_7_9,-1.1448571341754997e-05,-1.0617247538996317,0.6615,1999
amihud,post_all,-7.041239075861776e-06,-1.0829682325293735,0.683,1999
