measure,term,coef,t_cluster,p_wild,n_boot
cs_spread,pre,-0.07263347052333022,-1.6803821077256733,0.586,1999
cs_spread,post_0_3,-0.026990762880172305,-0.6489701420056955,0.6735,1999
cs_spread,post_4_6,-0.010553308475551276,-0.16551780220337528,0.853,1999
cs_spread,post_7_9,-0.0028840283056911498,-0.032724396445505316,0.9695,1999
cs_spread,post_all,-0.016419553983512636,-0.29430651240985295,0.7655,1999
