term,coef,t_cluster,p_wild,n_boot
pre,0.042641225987051334,0.5954405553733204,0.5005,1999
post_0_3,-0.07282546476984993,-0.8855883299053195,0.7265,1999
post_4_6,-0.07535607952065375,-0.7135173389566699,0.533,1999
post_7_9,-0.16511983494643123,-1.0746023292111637,0.5175,1999
post_all,-0.09253629396016522,-0.9805572605771612,0.6545,1999
