term,coef,t_cluster,p_wild,n_boot
pre,-0.02881293346252395,-0.39802050782966675,0.723,1999
post_0_3,0.041272728496579446,3.1353174031439925,0.906,1999
post_4_6,0.04226314823966787,0.2871793000145078,0.92,1999
post_7_9,0.07801876557286352,0.48833043653067737,0.7415,1999
post_all,0.04994517574480782,0.5487135586613784,0.6995,1999
