company,ticker,isin,announcement_url,source,t0_announcement,t0_effective
Dom Development SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Enea SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Enea SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Eurocash SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Eurocash SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
GPW SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
GPW SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Grupa Azoty SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Grupa Azoty SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Grupa Pracuj SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Grupa Pracuj SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
"Huuuge, Inc.",,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
"Huuuge, Inc.",,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
ING Bank Śląski SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
ING Bank Śląski SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Inter Cars SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Inter Cars SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
JSW  SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
JSW  SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Lubawa SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Lubawa SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Mirbud SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Mirbud SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Mo-Bruk SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Mo-Bruk SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Neuca SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Neuca SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Newag SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Newag SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Polenergia SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Polenergia SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Rainbow Tours SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Rainbow Tours SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Synektik SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Synektik SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Tauron PE SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Tauron PE SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Ten Square Games SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Ten Square Games SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Text SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Text SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Vercom SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Vercom SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Voxel SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Voxel SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
WP Holding SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
WP Holding SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
XTB SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
XTB SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
AC SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
AC SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Agora SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Agora SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Ailleron SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Ailleron SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Ambra SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Ambra SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Amica SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Amica SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Apator SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Apator SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Archicom SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Archicom SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Arctic Paper SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Arctic Paper SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Asseco BS SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Asseco BS SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Astarta Holding PLC,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Astarta Holding PLC,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Atal SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Atal SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
BOŚ SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
BOŚ SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Bioceltix SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Bioceltix SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Bioton SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Bioton SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Bloober Team SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Bloober Team SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Boryszew SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Boryszew SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Bumech SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Bumech SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
CI Games SE,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
CI Games SE,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Captor Therapeutics SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Captor Therapeutics SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Celon Pharma SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Celon Pharma SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
